Q-1,Q,Q+1,Q+2,Q+3,Q+4
0.430142857,0.355714286,0.300571429,0.221,0.185428571,0.169285714
0.355714286,0.300571429,0.221,0.185428571,0.169285714,0.668
0.300571429,0.221,0.185428571,0.169285714,0.668,0.135857143
0.221,0.185428571,0.169285714,0.668,0.135857143,0.092142857
0.185428571,0.169285714,0.668,0.135857143,0.092142857,0.118571429
0.169285714,0.668,0.135857143,0.092142857,0.118571429,0.133714286
0.668,0.135857143,0.092142857,0.118571429,0.133714286,0.166571429
0.135857143,0.092142857,0.118571429,0.133714286,0.166571429,0.138
0.092142857,0.118571429,0.133714286,0.166571429,0.138,0.139285714
0.118571429,0.133714286,0.166571429,0.138,0.139285714,0.167571429
0.133714286,0.166571429,0.138,0.139285714,0.167571429,0.183428571
0.166571429,0.138,0.139285714,0.167571429,0.183428571,0.182285714
0.138,0.139285714,0.167571429,0.183428571,0.182285714,0.168142857
0.139285714,0.167571429,0.183428571,0.182285714,0.168142857,0.179
0.167571429,0.183428571,0.182285714,0.168142857,0.179,0.204571429
0.183428571,0.182285714,0.168142857,0.179,0.204571429,0.267857143
0.182285714,0.168142857,0.179,0.204571429,0.267857143,0.399571429
0.168142857,0.179,0.204571429,0.267857143,0.399571429,0.406
0.179,0.204571429,0.267857143,0.399571429,0.406,0.453
0.204571429,0.267857143,0.399571429,0.406,0.453,0.441571429
0.267857143,0.399571429,0.406,0.453,0.441571429,0.440285714
0.399571429,0.406,0.453,0.441571429,0.440285714,0.443142857
0.406,0.453,0.441571429,0.440285714,0.443142857,0.521285714
0.453,0.441571429,0.440285714,0.443142857,0.521285714,0.529285714
0.441571429,0.440285714,0.443142857,0.521285714,0.529285714,0.537285714
0.440285714,0.443142857,0.521285714,0.529285714,0.537285714,0.598
0.443142857,0.521285714,0.529285714,0.537285714,0.598,0.605428571
0.521285714,0.529285714,0.537285714,0.598,0.605428571,0.486
0.529285714,0.537285714,0.598,0.605428571,0.486,0.519571429
0.537285714,0.598,0.605428571,0.486,0.519571429,0.427428571
0.598,0.605428571,0.486,0.519571429,0.427428571,0.562428571
0.605428571,0.486,0.519571429,0.427428571,0.562428571,0.544857143
0.486,0.519571429,0.427428571,0.562428571,0.544857143,0.618428571
0.519571429,0.427428571,0.562428571,0.544857143,0.618428571,0.782285714
0.427428571,0.562428571,0.544857143,0.618428571,0.782285714,0.823
0.562428571,0.544857143,0.618428571,0.782285714,0.823,3.320428571
0.544857143,0.618428571,0.782285714,0.823,3.320428571,4.679714286
0.618428571,0.782285714,0.823,3.320428571,4.679714286,3.105714286
0.782285714,0.823,3.320428571,4.679714286,3.105714286,2.599857143
