Q-2,Q-1,Q,Q+1,Q+2
0.537642857,1.262928571,1.389714286,2.3915,4.730642857
1.262928571,1.389714286,2.3915,4.730642857,1.736142857
1.389714286,2.3915,4.730642857,1.736142857,1.369571429
2.3915,4.730642857,1.736142857,1.369571429,0.233428571
4.730642857,1.736142857,1.369571429,0.233428571,0.160571429
1.736142857,1.369571429,0.233428571,0.160571429,0.154214286
1.369571429,0.233428571,0.160571429,0.154214286,0.115
0.233428571,0.160571429,0.154214286,0.115,0.139857143
0.160571429,0.154214286,0.115,0.139857143,0.079285714
0.154214286,0.115,0.139857143,0.079285714,0.083714286
0.115,0.139857143,0.079285714,0.083714286,0.088571429
0.139857143,0.079285714,0.083714286,0.088571429,0.094285714
0.079285714,0.083714286,0.088571429,0.094285714,0.089071429
0.083714286,0.088571429,0.094285714,0.089071429,0.106357143
0.088571429,0.094285714,0.089071429,0.106357143,0.254928571
0.094285714,0.089071429,0.106357143,0.254928571,0.589785714
0.089071429,0.106357143,0.254928571,0.589785714,0.490428571
0.106357143,0.254928571,0.589785714,0.490428571,0.425571429
0.254928571,0.589785714,0.490428571,0.425571429,0.411071429
0.589785714,0.490428571,0.425571429,0.411071429,0.484071429
0.490428571,0.425571429,0.411071429,0.484071429,0.580714286
0.425571429,0.411071429,0.484071429,0.580714286,0.560928571
0.411071429,0.484071429,0.580714286,0.560928571,0.962642857
0.484071429,0.580714286,0.560928571,0.962642857,1.6735
0.580714286,0.560928571,0.962642857,1.6735,4.824928571
0.560928571,0.962642857,1.6735,4.824928571,8.721857143
0.962642857,1.6735,4.824928571,8.721857143,7.292642857
1.6735,4.824928571,8.721857143,7.292642857,4.575857143
4.824928571,8.721857143,7.292642857,4.575857143,4.497357143
8.721857143,7.292642857,4.575857143,4.497357143,1.922071429
7.292642857,4.575857143,4.497357143,1.922071429,1.067928571
4.575857143,4.497357143,1.922071429,1.067928571,0.629714286
4.497357143,1.922071429,1.067928571,0.629714286,0.442857143
1.922071429,1.067928571,0.629714286,0.442857143,0.856357143
1.067928571,0.629714286,0.442857143,0.856357143,0.318357143
0.629714286,0.442857143,0.856357143,0.318357143,0.344714286
0.442857143,0.856357143,0.318357143,0.344714286,0.314428571
0.856357143,0.318357143,0.344714286,0.314428571,0.358142857
0.318357143,0.344714286,0.314428571,0.358142857,0.715857143
0.344714286,0.314428571,0.358142857,0.715857143,0.518428571
0.314428571,0.358142857,0.715857143,0.518428571,1.482714286
0.358142857,0.715857143,0.518428571,1.482714286,0.619071429
0.715857143,0.518428571,1.482714286,0.619071429,0.813428571
0.518428571,1.482714286,0.619071429,0.813428571,0.714857143
1.482714286,0.619071429,0.813428571,0.714857143,0.916357143
0.619071429,0.813428571,0.714857143,0.916357143,0.855214286
0.813428571,0.714857143,0.916357143,0.855214286,0.892214286
0.714857143,0.916357143,0.855214286,0.892214286,1.430214286
0.916357143,0.855214286,0.892214286,1.430214286,3.433428571
0.855214286,0.892214286,1.430214286,3.433428571,3.690071429
0.892214286,1.430214286,3.433428571,3.690071429,3.686928571
1.430214286,3.433428571,3.690071429,3.686928571,2.123357143
3.433428571,3.690071429,3.686928571,2.123357143,3.5715
3.690071429,3.686928571,2.123357143,3.5715,2.476285714
3.686928571,2.123357143,3.5715,2.476285714,0.804428571
2.123357143,3.5715,2.476285714,0.804428571,0.419285714
3.5715,2.476285714,0.804428571,0.419285714,0.328142857
2.476285714,0.804428571,0.419285714,0.328142857,0.203214286
0.804428571,0.419285714,0.328142857,0.203214286,0.418642857
0.419285714,0.328142857,0.203214286,0.418642857,0.114
0.328142857,0.203214286,0.418642857,0.114,0.126142857
0.203214286,0.418642857,0.114,0.126142857,0.152285714
0.418642857,0.114,0.126142857,0.152285714,0.153428571
0.114,0.126142857,0.152285714,0.153428571,0.182857143
0.126142857,0.152285714,0.153428571,0.182857143,0.173571429
0.152285714,0.153428571,0.182857143,0.173571429,0.236214286
0.153428571,0.182857143,0.173571429,0.236214286,0.402785714
0.182857143,0.173571429,0.236214286,0.402785714,0.447285714
0.173571429,0.236214286,0.402785714,0.447285714,0.441714286
0.236214286,0.402785714,0.447285714,0.441714286,0.525285714
0.402785714,0.447285714,0.441714286,0.525285714,0.567642857
0.447285714,0.441714286,0.525285714,0.567642857,0.545714286
0.441714286,0.525285714,0.567642857,0.545714286,0.4735
0.525285714,0.567642857,0.545714286,0.4735,0.553642857
0.567642857,0.545714286,0.4735,0.553642857,0.700357143
0.545714286,0.4735,0.553642857,0.700357143,2.071714286
0.4735,0.553642857,0.700357143,2.071714286,3.892714286
0.553642857,0.700357143,2.071714286,3.892714286,2.463928571
0.700357143,2.071714286,3.892714286,2.463928571,2.204571429
2.071714286,3.892714286,2.463928571,2.204571429,0.904571429
3.892714286,2.463928571,2.204571429,0.904571429,0.520714286
2.463928571,2.204571429,0.904571429,0.520714286,1.195214286
2.204571429,0.904571429,0.520714286,1.195214286,0.303285714
0.904571429,0.520714286,1.195214286,0.303285714,0.9675
0.520714286,1.195214286,0.303285714,0.9675,2.039714286
1.195214286,0.303285714,0.9675,2.039714286,0.064928571
0.303285714,0.9675,2.039714286,0.064928571,0.186071429
0.9675,2.039714286,0.064928571,0.186071429,0.1365
2.039714286,0.064928571,0.186071429,0.1365,0.172928571
0.064928571,0.186071429,0.1365,0.172928571,0.607785714
0.186071429,0.1365,0.172928571,0.607785714,0.593071429
0.1365,0.172928571,0.607785714,0.593071429,0.692571429
0.172928571,0.607785714,0.593071429,0.692571429,0.443714286
0.607785714,0.593071429,0.692571429,0.443714286,0.415785714
0.593071429,0.692571429,0.443714286,0.415785714,0.514
0.692571429,0.443714286,0.415785714,0.514,1.101357143
0.443714286,0.415785714,0.514,1.101357143,0.5775
0.415785714,0.514,1.101357143,0.5775,0.530714286
0.514,1.101357143,0.5775,0.530714286,0.5105
1.101357143,0.5775,0.530714286,0.5105,0.616071429
0.5775,0.530714286,0.5105,0.616071429,1.104571429
0.530714286,0.5105,0.616071429,1.104571429,0.993642857
0.5105,0.616071429,1.104571429,0.993642857,1.443357143
0.616071429,1.104571429,0.993642857,1.443357143,1.923428571
1.104571429,0.993642857,1.443357143,1.923428571,2.022214286
0.993642857,1.443357143,1.923428571,2.022214286,4.368142857
1.443357143,1.923428571,2.022214286,4.368142857,1.888642857
1.923428571,2.022214286,4.368142857,1.888642857,1.519142857
2.022214286,4.368142857,1.888642857,1.519142857,0.284
4.368142857,1.888642857,1.519142857,0.284,0.218571429
1.888642857,1.519142857,0.284,0.218571429,0.154071429
1.519142857,0.284,0.218571429,0.154071429,0.132928571
0.284,0.218571429,0.154071429,0.132928571,0.145142857
0.218571429,0.154071429,0.132928571,0.145142857,0.2025
0.154071429,0.132928571,0.145142857,0.2025,0.142
0.132928571,0.145142857,0.2025,0.142,0.240857143
0.145142857,0.2025,0.142,0.240857143,0.314857143
0.2025,0.142,0.240857143,0.314857143,0.3075
0.142,0.240857143,0.314857143,0.3075,0.262857143
0.240857143,0.314857143,0.3075,0.262857143,0.302285714
0.314857143,0.3075,0.262857143,0.302285714,0.441642857
0.3075,0.262857143,0.302285714,0.441642857,0.483428571
0.262857143,0.302285714,0.441642857,0.483428571,0.472857143
0.302285714,0.441642857,0.483428571,0.472857143,0.524071429
0.441642857,0.483428571,0.472857143,0.524071429,0.395571429
0.483428571,0.472857143,0.524071429,0.395571429,0.425357143
0.472857143,0.524071429,0.395571429,0.425357143,0.610714286
0.524071429,0.395571429,0.425357143,0.610714286,0.632714286
0.395571429,0.425357143,0.610714286,0.632714286,1.351357143
0.425357143,0.610714286,0.632714286,1.351357143,2.039928571
0.610714286,0.632714286,1.351357143,2.039928571,4.226142857
0.632714286,1.351357143,2.039928571,4.226142857,4.204071429
1.351357143,2.039928571,4.226142857,4.204071429,2.160357143
2.039928571,4.226142857,4.204071429,2.160357143,0.251
4.226142857,4.204071429,2.160357143,0.251,0.251
4.204071429,2.160357143,0.251,0.251,0.251
2.160357143,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.216785714
0.251,0.251,0.251,0.216785714,0.166785714
0.251,0.251,0.216785714,0.166785714,0.221285714
0.251,0.216785714,0.166785714,0.221285714,0.287642857
0.216785714,0.166785714,0.221285714,0.287642857,0.385928571
0.166785714,0.221285714,0.287642857,0.385928571,0.452714286
0.221285714,0.287642857,0.385928571,0.452714286,0.485214286
0.287642857,0.385928571,0.452714286,0.485214286,0.568785714
0.385928571,0.452714286,0.485214286,0.568785714,0.484357143
0.452714286,0.485214286,0.568785714,0.484357143,0.445357143
0.485214286,0.568785714,0.484357143,0.445357143,0.469071429
0.568785714,0.484357143,0.445357143,0.469071429,0.654214286
0.484357143,0.445357143,0.469071429,0.654214286,1.546142857
0.445357143,0.469071429,0.654214286,1.546142857,1.436357143
0.469071429,0.654214286,1.546142857,1.436357143,1.471642857
0.654214286,1.546142857,1.436357143,1.471642857,1.357357143
1.546142857,1.436357143,1.471642857,1.357357143,0.711714286
1.436357143,1.471642857,1.357357143,0.711714286,2.385071429
1.471642857,1.357357143,0.711714286,2.385071429,1.815285714
1.357357143,0.711714286,2.385071429,1.815285714,0.294285714
0.711714286,2.385071429,1.815285714,0.294285714,0.220571429
2.385071429,1.815285714,0.294285714,0.220571429,0.231142857
1.815285714,0.294285714,0.220571429,0.231142857,0.732071429
0.294285714,0.220571429,0.231142857,0.732071429,0.255785714
0.220571429,0.231142857,0.732071429,0.255785714,0.200428571
0.231142857,0.732071429,0.255785714,0.200428571,0.153142857
0.732071429,0.255785714,0.200428571,0.153142857,0.135785714
0.255785714,0.200428571,0.153142857,0.135785714,0.145714286
